    name_id,descr_it,category_it,covered_by_verona_card,address,latitude,longitude,orario_invernale,giorni_sett,orario_estivo,orario_sette
Complesso del Duomo,"Più che un singolo edificio la Cattedrale, dedicata a Santa Maria Assunta, risulta essere un complesso architettonico articolato di cui fanno parte San Giovanni in Fonte, Santa Elena, il chiostro dei Canonici, la biblioteca Capitolare, il museo Canonicale, l'antistante piazza e il Vescovado.\n
Nella zona dove sorge oggi il Duomo si trovavano, in epoca romana, delle ville con balnea privati e, probabilmente, dei tempietti per il culto.\n
La prima basilica paleocristiana fu costruita nell'area occupata attualmente dalla chiesa di Santa Elena. Consacrata da San Zeno, vescovo di Verona tra il 362 e il 380, risultò presto troppo piccola e, qualche decennio più tardi, si provvide all'edificazione di una basilica più ampia. Ampi resti di pavimento a mosaico delle due basiliche paleocristiane sono visibili sotto la chiesa di Santa Elena e nel chiostro canonicale.\n
La seconda basilica paleocristiana crollò, verosimilmente nel VII secolo, a causa di un violento incendio o, forse, di un terremoto. La ricostruzione fu guidata dall'arcidiacono Pacifico, tra VIII e IX secolo. La Cattedrale, menzionata come Santa Maria Matricolare, venne spostata a sud, nell'area sulla quale insiste l'attuale edificio.\n
La chiesa fu gravemente danneggiata dal terremoto del 1117. Il cantiere di restauro si protrasse per almeno un ventennio: l'edificio acquistò l'ampiezza attuale e vennero realizzati i due protiri romanici.\n
L'interno venne completamente rinnovato tra la metà del XV e la metà del XVI secolo, con la costruzione di cappelle laterali e l'inserimento del tornacoro semicircolare.
All'esterno: la facciata d’impianto romanico, il doppio protiro di Nicolò (1138), il portale con rilievi e lunetta, lo splendido protiro laterale e la zona absidale. All'interno: il tornacoro di Sanmicheli, opere di Falconetto, Liberale, Giolfino, Torbido e l’Assunzione della Vergine di Tiziano (1530).",Chiese,riduzione,Piazza Duomo - Verona1,45.4470766,10.9967941,novembre-febbraio,"Lunedì 10-13/13-17
Martedì 10-13/13-17
Mercoledì 10-13/13-17
Giovedì 10-13/13-17
Venerdì 10-13/13-17
Sabato 10-13/13-16
Domenica 13-17",marzo-ottobre,"Lunedì 10-17:30
Martedì 10-17:30
Mercoledì 10-17:30
Giovedì 10-17:30
Venerdì 10-17:30
Sabato 10-17:30
Domenica 13:30-17:30"
Basilica di Santa Anastasia,"La chiesa di Sant'Anastasia è uno splendido esempio di gotico italiano. Fu eretta a partire dal 1290 con il contributo della famiglia che governava la città, gli Scaligeri, e di altre famiglie veronesi. Prima dell'attuale edificio qui esistevano due chiese dedicate, una a Sant'Anastasia e l'altra a San Remigio.\n
Nel 1290 i domenicani chiamati a custodirle, decisero di costruire al loro posto un'unica chiesa dedicata a San Pietro da Verona detto anche San Pietro Martire, ma il popolo continuò a chiamarla Sant'Anastasia. Accanto alla chiesa i monaci domenicani avevano un grande convento.\n
L'opera di costruzione del sacro edificio continuò per tutto il 1300 e il 1400 e finalmente nel 1500 si ebbe l'ultima fase dei lavori per il suo completamento. La facciata è l'unico elemento mai portato a termine.\n
Sant'Anastasia è la chiesa più grande di Verona. La basilica si sviluppa in tre grandi navate sorrette da 12 imponenti colonne di marmo rosso di Verona. Sul transetto si aprono 5 cappelle. Sul lato sinistro si apre l'antico oratorio del convento, Cappella Giusti.
La chiesa, ricchissima di opere d'arte, custodisce anche il celebre affresco del Pisanello San Giorgio e la Principessa, tornato nella sua collocazione originaria sopra la Cappella Pellegrini.\n
All'esterno la facciata incompiuta con lo splendido portale gotico e la zona absidale, posta sulla riva del fiume Adige. All'interno: gli altari con le cappelle con opere di Pietro da Porlezza, Cattaneo, Michele da Firenze, Liberale da Verona, Girolamo Dai Libri, Giolfino, Brusasorzi, Altichiero, e Pisanello. All'ingresso i singolari gobbi che reggono l'acquasantiera.",Chiese,riduzione,Piazza Santa Anastasia - Verona1,45.445176,10.999825,novembre-febbraio,"Lunedì 10-13
Martedì  10-13
Mercoledì 10-13
Giovedì 10-13
Venerdì 10-13
Sabato 10-13
Domenica 13-17",marzo-ottobre,"Lunedì 9-18:30
Martedì  9-18:30
Mercoledì 9-18:30
Giovedì 9-18:30
Venerdì 9-18:30
Sabato 9-18:30
Domenica 13-18"
Chiesa di San Fermo,"Nel luogo in cui nel 304, secondo l'antica tradizione, subirono il martirio i santi Fermo e Rustico, il popolo di Verona costruì, nel V secolo, una chiesa in loro onore. Tra il 755 il 759, il vescovo di Verona Annone recuperò a Trieste le reliquie dei Martiri e le depose nella chiesa paleocristiana.\n 
Dal 1065 al 1143 circa, i Benedettini demolirono fino al pavimento la chiesa paleocristiana e, per conservare le reliquie dove le aveva poste Annone, costruirono una chiesa romanica su due piani: quella inferiore per custodirvi le reliquie e quella superiore per le celebrazioni con il popolo.\n
Nel 1261 i Francescani sostituirono i Benedettini a San Fermo e trasformarono la chiesa superiore e l'atrio antistante nella forma attuale: l'opera poteva dirsi conclusa verso il 1350. Lungo i secoli vi aggiunsero altari, cappelle e monumenti funebri.\n
Nel 1759 per preservare le reliquie dei Martiri dalle alluvioni dell'Adige, il sarcofago, con la cassa di piombo e le reliquie, fu posto al centro del nuovo altare maggiore della chiesa superiore. Nel 1807 i Francescani, a seguito dell'occupazione napoleonica, furono costretti a lasciare San Fermo.\n
All'esterno: il portale con le arche poste ai lati e la zona absidale. All'interno: il superbo soffitto ligneo a carena multipla di nave e affreschi del XIV e XV secolo, opere di Turone, Torbido, Stefano e Liberale da Verona, Caroto e affresco di Pisanello; la chiesa inferiore, rarissima per le quattro navate, è un gioiello del romanico.",Chiese,riduzione,Stradone san Fermo - Verona1,45.439107,11.999825,novembre-febbraio,"Lunedì 10-13/13-17
Martedì 10-13/13-17
Mercoledì 10-13/13-17
Giovedì 10-13/13-17
Venerdì 10-13/13-17
Sabato 10-13/13-16
Domenica 13-17",marzo-ottobre,"Lunedì 10-18
Martedì 10-18
Mercoledì 10-18
Giovedì 10-18
Venerdì 10-18
Sabato 10-18
Domenica 13-18"
Basilica di San Zeno,"La basilica di San Zeno è senza dubbio una delle più belle chiese romaniche esistenti in Italia. L'intenso cromatismo è dato dall’impiego della pietra di tufo usata sola o alternata a mattoni.\n 
L'origine del primitivo nucleo di San Zeno è da ricondurre alla chiesa e al cenobio eretti nell'area cimiteriale romana e paleocristiana vicina alla Via Gallica, sorti sul luogo di sepoltura del Vescovo Zeno per conservarne la memoria e le reliquie. San Zeno, di origine africana, fu l'ottavo vescovo di Verona (362-380 circa) e convertì la città al cristianesimo.\n
Il primitivo nucleo subì nel VI secolo dei rifacimenti. Con l'espandersi del culto del Santo, fra l'805 e l'806, venne realizzata una basilica più vasta con annesso monastero, consacrata nell'806.\n
Alla fine dell'XI secolo la chiesa fu oggetto di un grande ampliamento e rinnovamento: la quasi totalità della struttura attuale è da riferire a questa fase dei lavori. Il terremoto del 1117 compromise gran parte dell'opera già eseguita. I lavori, ripresi subito dopo il terremoto, si protrassero fino al 1138.\n
Altri importanti interventi si susseguirono nei secoli XII, XIV e XIX. Il complesso di San Zeno, cessò di esistere come monastero per volere della Repubblica Veneta nel 1770.\n
All'esterno: la facciata con il grande rosone detto “Ruota della fortuna”, i bassorilievi marmorei ai lati del protiro, le famose porte bronzee, il campanile e la Torre dell'Abbazia (XII sec.).\n
All'interno: affreschi dal XII al XIV sec, il fonte battesimale, il soffitto a carena di nave, la cripta con le spoglie di San Zeno, la statua policroma detta “San Zen che ride” e il celebre trittico di Andrea Mantegna (1457-59).",Chiese,riduzione,Piazza San Zeno - Verona1,45.442372,10.9786355,novembre-febbraio,"Lunedì 10-13/13-17
Martedì 10-13/13-17
Mercoledì 10-13/13-17
Giovedì 10-13/13-17
Venerdì 10-13/13-17
Sabato 10-13/13-16
Domenica 12-17",marzo-ottobre,"Lunedì 8:30-18
Martedì 8:30-18
Mercoledì 8:30-18
Giovedì 8:30-18
Venerdì 8:30-18
Sabato 8:30-18
Domenica 12:30-18"
Funicolare di Castel San Pietro,"Per chi vuole ammirare la città di Verona da un'altra prospettiva, ora lo straordinario piazzale panoramico di Castel San Pietro è a portata di mano.\n
La funicolare di Verona si trova nelle immediate vicinanze del Teatro Romano, a pochissimi passi dalla Chiesa di Santo Stefano. Già negli anni precedenti la prima guerra mondiale era stata pensata per favorire gli studenti nel raggiungere l'Accademia delle Belle Arti, che un tempo si trovava presso Castel San Pietro, oltre che per valorizzare la bellezza dell'area del castello asburgico e renderlo fruibile al flusso turistico già prosperoso.\n
Fu inaugurata la prima volta nel 1941, ma l'avvento della seconda guerra mondiale e le ristrettezze economiche ne comportarono la chiusura nel 1944. Nel corso degli anni ottanta e novanta si susseguirono diverse proposte per la sua ricostruzione, e dopo diversi progetti l'impianto è stato riaperto nel giugno 2017 sotto forma di ascensore inclinato.\n
La funicolare permette di percorrere in circa 90 secondi 159 metri, con un dislivello di 55 metri e raggiungere così facilmente Castel San Pietro e accedere alla terrazza con la veduta panoramica su tutta la città.",Monumenti,gratis,"Vicolo Cieco Zini, 3 - Verona0",45.448822,11.000838,novembre-febbraio,"Lunedì 10-16
Martedì 10-16
Mercoledì 10-16
Giovedì 10-16
Venerdì 10-16
Sabato 10-16
Domenica 10-16",marzo-ottobre,"Lunedì 11-21
Martedì 11-21
Mercoledì 11-21
Giovedì 11-21
Venerdì 11-21
Sabato 11-21
Domenica 11-21"
Teatro Romano,"Il teatro fu costruito sulle pendici del colle di San Pietro verso la fine del I sec. a.C., durante il principato di Ottaviano Augusto.\n
La costruzione, di spettacolare grandiosità, si estendeva dalla riva sinistra dell'Adige alla sommità del colle, ed era in rapporto scenografico con l'impianto urbanistico romano, posto sulla riva destra del fiume.\n
Nel corso dei secoli edifici civili e religiosi vennero eretti sulle rovine del teatro; nel 1834 Andrea Monga, un ricco commerciante veronese, acquistò parte delle case costruite nell'area per effettuare scavi, che portarono al recupero di notevoli resti.\n
Il teatro risponde ai canoni architettonici propri di questo tipo di edifici: la cavea riservata agli spettatori, divisa in due sezioni e verticalmente in cunei; l'orchestra semicircolare ai piedi della gradinata; la scena, riservata agli attori. Nel periodo estivo vi si tengono rappresentazioni teatrali e musicali (Estate Teatrale Veronese).\n
Nel 1923 il Museo Archeologico fu collocato nei locali dell'ex-convento di San Girolamo, costruito al di sopra del teatro nel tardo Quattrocento; vi sono esposti oggetti provenienti da collezioni donate al museo e materiali romani rinvenuti a Verona e nella provincia, come iscrizioni sacre e sepolcrali, mosaici, sculture e recipienti di uso quotidiano.",Monumenti,riduzione,"Teatro Romano, Piazzetta Martiri della Libertà - Verona1",45.447371,11.001619,novembre-febbraio,"Lunedì 13-19
Martedì 8-19
Mercoledì 8-19
Giovedì 8-19
Venerdì 8-19
Sabato 8-19
Domenica 8-19",marzo-ottobre,"Lunedì 13:30-19:30
Martedì 8:30-19:30
Mercoledì 8:30-19:30
Giovedì 8:30-19:30
Venerdì 8:30-19:30
Sabato 8:30-19:30
Domenica 8:30-19:30"
Arena,"Costruito presumibilmente nella I metà del I secolo d.C., è il monumento più famoso di Verona ed una tappa d'obbligo per chi visita questa città.\n
Il maestoso anfiteatro, come tutte le costruzioni adibite a spettacoli di lotte tra gladiatori e cacce ad animali feroci ed esotici, è formato da una zona centrale con sabbia (da qui l'origine del nome del complesso) ed una parte che circonda la prima, formata da una cavea a gradinate di larghezza costante.\n
Le due parti appena descritte erano separate tra loro da un alto podio sul quale s’installavano delle reti protettive perché gli spettatori restassero incolumi, soprattutto durante gli spettacoli di caccia. Sia il podio che le gradinate sono state ricostruite e, mentre in passato le gradinate erano divise in settori orizzontali (maeniana), oggi sono un blocco unico.\n
La sua forma ellittica era stata concepita sia per poter contenere quanti più spettatori possibile (ne poteva contenere 30 mila tutti con una buona visuale) sia perché ci fosse spazio sufficiente di movimento per chi si esibiva. Oggi si accede al monumento passando per i cosiddetti arcovoli.\n
I muri interni sono costituiti da ciottoli di fiume, malta e fasce formate da tre corsi di laterizi; ciottoli e cemento formano invece le volte e nella parte superiore delle stesse troviamo dei blocchetti irregolari di tufo per alleggerirne il peso. Le membrature portanti e le strutture architravate sono formate da pietra calcarea perché ci sia la massima resistenza alla compressione.\n
Dell'anello esterno oggi è rimasto solo un breve tratto, la cosiddetta ala e la causa è l’utilizzo durante i secoli del monumento come cava di pietre: nel 1840, quando fu dichiarata “gradibus vacua” e i gradoni iniziarono ad essere utilizzati per attingere materiale per costruire altri complessi.\n
Il prospetto esterno è formato da blocchi di pietra calcarea della Valpolicella combinati con bugnato bianco e rosato. Il risultato è una bicromia, evidenziata dall’alternarsi dei due tipi di pietra. Lo stile della facciata è in ordine architettonico tuscanico.\n
Gli archi del I e del II piano sono sostenuti da pilastri decorati da lesene e cornici semplici che ne sostengono l'imposta, mentre quelli del II piano contengono finestre arcuate e il fatto che siano arretrate rispetto alla superficie crea un effetto di chiaroscuro.\n
L'architettura dell'Arena è caratterizzata da potenza, semplicità e funzionalità e influenzerà le opere cinquecentesche del Palladio e del Sanmicheli. Come testimonianza di quanto si svolgeva nell'Arena, abbiamo due copie di un'iscrizione, una conservata al museo Maffeiano e l'altra a quello Archeologico, di una certa Licina che lascia in testamento una sostanziale somma in denaro per far svolgere una caccia alle fiere in nome del figlio Quinto Domizio Alpino; e una lettera scritta da Plinio il Giovane all'amico Massimo nella quale, si congratula per lo svolgersi dei giochi, emblema del buon cuore del destinatario della missiva.\n
Nel museo archeologico sono oggi conservate alcune sculture che un tempo abbellivano il complesso: una mano di un pugile, in bronzo, protetta dal caestus (una sorta d'antico guantone); una testa di gladiatore realizzata in tufo, con tutto il viso coperto fatta eccezione per gli occhi e infine una testa femminile idealizzata.\n
Dopo il periodo romano, il complesso ha svolto diverse funzioni. Già dal Medioevo, gli arcovoli esterni erano proprietà del Comune e l'interno era adibito a giostre e tornei; nel corso dei secoli gli arcovoli sono stati adibiti a vari usi, anche per relegarci le prostitute della città e, fino al XIX secolo, per ospitare botteghe artigianali.\n
Lo spazio interno serviva per amministrare la giustizia, poi come palco per feste e intrattenimenti di vario genere. A partire dal 1913, anno della prima rappresentazione dell'Aida di Verdi, è il palco della stagione lirica estiva.",Monumenti,riduzione,"Anfiteatro Arena, Piazza Bra - Verona1",45.439116,10.994672,novembre-febbraio,"Lunedì 8-19
Martedì 8-19
Mercoledì 8-19
Giovedì 8-19
Venerdì 8-19
Sabato 8-19
Domenica 8-19",marzo-ottobre,"Lunedì 8:30-19:30
Martedì  8:30-19:30
Mercoledì 8:30-19:30
Giovedì 8:30-19:30
Venerdì 8:30-19:30
Sabato 8:30-19:30
Domenica 8:30-19:30"
Castelvecchio,"Maniero scaligero voluto da Cangrande II, fu costruito negli anni 1354-56 su preesistenti fortificazioni. Aveva funzione di residenza signorile, ma anche di presidio difensivo sia verso attacchi dalla città sia verso il ponte che consentiva il collegamento con la strada per il Tirolo. Presenta due nuclei, divisi da un tratto delle mura duecentesche e sette torri perimetrali; il nucleo di destra racchiude il cortile maggiore, con la piazza d'armi; il nucleo di sinistra era la vera e propria reggia scaligera, con cortile più stretto e doppia cinta muraria. Al centro, l'alta Torre del Mastio (1376), da cui si accede al ponte Scaligero sull'Adige.\n
Dopo la caduta degli Scaligeri fu utilizzato come deposito d'armi dai veneziani e nel '700 ospitò l'Accademia Militare della Serenissima; in seguito, sotto il dominio francese e quello austriaco, venne utilizzato come caserma. Tra il 1923 e il 1926 fu avviato un radicale restauro che smantellò i caratteri militari del monumento, con l'inserimento di elementi architettonici tardogotici e rinascimentali di reimpiego e il ripristino delle merlature e delle coperture delle torri (eliminate in epoca napoleonica).\n
Nel 1928 diventò sede museale, che espone importanti collezioni di arte medievale, rinascimentale e moderna.",Monumenti,riduzione,"Corso Castelvecchio, 2 - Verona1",45.4395227,10.9878302,novembre-febbraio,"Lunedì 13-19
Martedì 10-13/14-18
Mercoledì 10-13/14-18
Giovedì 10-13/14-18
Venerdì 10-13/14-18
Sabato 10-13/14-18
Domenica 10-13/14-18",marzo-ottobre,"Lunedì 13:30-19:30
Martedì  8:30-19:30
Mercoledì 8:30-19:30
Giovedì 8:30-19:30
Venerdì 8:30-19:30
Sabato 8:30-19:30
Domenica 8:30-19:30"
Arche Scaligere,"Presso la chiesa di S. Maria Antica, in una piazzola quasi appendice di piazza dei Signori, si possono ammirare le tombe monumentali degli Scaligeri, insigni monumenti dell’arte gotica.\n
In uno splendido recinto di ferro battuto, con ricche decorazioni su cui spicca il motivo della scala (simbolo dei signori), sono racchiusi diversi sarcofagi posti a terra o su mensole (il primo ad essere sepolto qui sembra sia stato Mastino I nel 1277), ma soprattutto le tre monumentali tombe marmoree a baldacchino di Cangrande I, di Mastino II e di Cansignorio.\n
Alle tre arche maggiori, sormontate da cuspidi, recanti la statua equestre del defunto e circondate da numerosi elementi decorativi, hanno lavorato numerosi artisti, soprattutto lapidici veneti, lombardi e toscani.\n
L'arca di Cangrande I, pensile, posta sopra il portale della chiesa, è la prima delle tombe monumentali ad essere costruita, opera del Maestro di S. Anastasia.\n
Il sarcofago è sostenuto da cani che recano gli stemmi scaligeri ed è protetto da un tabernacolo gotico; sul coperchio vi si trova la statua distesa di Cangrande I, mentre sul fronte si possono osservare degli altorilievi di soggetto religioso e dei bassorilievi che narrano le gesta militare del signore; sulla sommità del baldacchino è collocata la statua equestre di Cangrande I, copia dell'originale più volte restaurato e ora conservato al museo di Castelvecchio insieme al corredo funerario, recuperato quando l'arca è stata aperta nel 1921.\n
L'arca di Mastino II, iniziata nel 1345, prima della morte del committente, era originariamente dipinta e dorata. È cinta da una cancellata ai cui angoli si trovano quattro statue delle Virtù. Le facce dell'urna presentano decorazioni scultoree con motivi religiosi e, sul coperchio, la statua di Mastino II distesa, vegliata da angeli.\n
